epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3251.46,1.43171,1.16171,1.78337,0.88683,0.84814,0.90417,0.41032,1.81782,1.04625,1.91163,0.0011882,0.0011882,0.0011882
43,3328.56,1.38793,1.13571,1.77769,0.88042,0.87966,0.90921,0.4096,1.86802,1.00371,1.96463,0.0011684,0.0011684,0.0011684
44,3405.22,1.43883,1.18765,1.76571,0.88438,0.85477,0.90606,0.39957,1.88049,0.92194,1.93305,0.0011486,0.0011486,0.0011486
45,3482.18,1.41703,1.13577,1.78168,0.91023,0.87966,0.92718,0.42541,1.86277,0.92282,1.94776,0.0011288,0.0011288,0.0011288
46,3558.02,1.39276,1.11398,1.77651,0.83978,0.87679,0.90882,0.46405,1.82038,0.92252,1.99373,0.001109,0.001109,0.001109
47,3635.07,1.3969,1.12052,1.77468,0.91413,0.83095,0.90089,0.39299,1.87321,0.94702,2.01416,0.0010892,0.0010892,0.0010892
48,3711.67,1.38606,1.09626,1.7668,0.89265,0.88159,0.9211,0.38432,1.93906,0.94483,1.97842,0.0010694,0.0010694,0.0010694
49,3789.18,1.38365,1.08741,1.71053,0.89011,0.88196,0.91234,0.4246,1.80908,0.92934,1.94819,0.0010496,0.0010496,0.0010496
50,3867.27,1.38157,1.10571,1.78323,0.89514,0.85387,0.91624,0.4285,1.83104,0.97091,1.90964,0.0010298,0.0010298,0.0010298
51,3942.84,1.34516,1.05835,1.73784,0.87955,0.86819,0.90988,0.36581,2.03041,0.99392,2.22677,0.00101,0.00101,0.00101
52,4019.86,1.36944,1.06909,1.75391,0.9004,0.8596,0.90835,0.37558,1.98021,0.95519,2.06368,0.0009902,0.0009902,0.0009902
53,4095.37,1.35116,1.10048,1.76477,0.8767,0.87602,0.90971,0.42139,1.83,0.92694,1.95633,0.0009704,0.0009704,0.0009704
54,4171.42,1.35215,1.01516,1.72132,0.89215,0.877,0.92432,0.45423,1.83253,0.87049,1.97574,0.0009506,0.0009506,0.0009506
55,4250.76,1.34143,1.04055,1.72767,0.88994,0.88039,0.92039,0.47753,1.72887,0.88266,1.95373,0.0009308,0.0009308,0.0009308
56,4328.63,1.37321,1.04154,1.78101,0.92265,0.83095,0.91061,0.45903,1.77212,0.95974,1.95029,0.000911,0.000911,0.000911
57,4405.57,1.35205,1.03384,1.72882,0.91604,0.88825,0.93406,0.45621,1.8149,0.91008,1.96681,0.0008912,0.0008912,0.0008912
58,4481.92,1.35755,1.02773,1.73837,0.90853,0.88223,0.9187,0.44376,1.8055,0.92629,1.92869,0.0008714,0.0008714,0.0008714
